TITLE,SYNOPSIS,GENRE,YEAR,RAITING,LENGUEAGE,LIKES,QUALITY,SIZE,TYPE,LINK
Solomon,"David, now an old man, is still king of Israel. Among his sons, the ambitious Adonijah and the clever Solomon. The two young men are fierce rivals, since both are prospective heirs to the throne and only one can be successful. During a hunting expedition, Adonijah challenges his younger brother Solomon to a chariot race. While Solomon, though brave, still retains a modicum of caution, the daredevil Adonijah is eager to win at all costs -- and loses control of his chariot. Solomon takes the seriously injured Adonijah back to Jerusalem. On the way there they meet the attractive Abishag, who despite her youth is versed in the use of healing herbs. She actually succeeds in helping the prince. Adonijah falls in love with Abishag -- but Bathsheba arranges things so that she works for David, hoping that her youth, her beauty and her healing powers will soothe the old king's suffering. Several members of the influential priesthood and also the respected army general Joab, who served David loyally for many years, support Adonijah's claim to the throne-- even though David has still not made any decision with regard to a potential successor. The battle-experienced Joab regards Solomon as an indecisive weakling, under whose leadership the kingdom would soon fall apart. When the prophet Nathan finds out about Adonijah's conspiracy he informs Bathsheba and Solomon, who urge David to take immediate action. And so it comes to pass that preparations to anoint the future king of Israel are made both at the Spring of Enrogel, where Adonijah and his men are encamped, as well as in Jerusalem. The festive procession for Adonijah has already been assembled and the people enticed with delicious delicacies to cheer him on, when the news of Solomon's coronation reaches Enrogel. The people promptly acknowledge the will of King David and stream off to Jerusalem in their hordes to greet Solomon, their future ruler. Adonijah remains behind with a handful of loyal followers. He realizes that he has lost -- for the time being. Humbly he places his life in his brother's hands. Adonijah is forgiven on one condition: that he always remains loyal to his brother Solomon. The great King David is dead, and his son Solomon has succeeded him as the rightful ruler of Israel. Adonijah now has a request to make of Bathsheba: he wants to marry Abishag. Solomon hears about this seemingly innocent wish, and recognizes it as a renewed ploy on behalf of his brother to reclaim the throne -- Adonijah's marriage to the last woman to share King David's bed would strengthen his political position considerably. Solomon knows that he has to act quickly and decisively if he is to secure his own power. He has his brother Adonijah and the latter's closest associate Joab executed. After this radical decision, Solomon withdraws to present sacrifices. In a dream the Lord appears to him and grants him the fulfillment of a wish, whatever it may be. Solomon merely asks for wisdom -- in order to become a good ruler and judge. War with Egypt is looming. To arm his kingdom against the territorial ambitions of its powerful neighbors, Solomon not only introduces several reforms but also decides to marry the daughter of the pharaoh. The Egyptian princess does not remain Solomon's only wife, however: as time goes by the king marries numerous noble women from many different countries for political and economic reasons. In this way he preserves peace for his people, and creates great prosperity. By allowing the women to continue practicing their domestic customs and religious rituals in Jerusalem as well, he comes into regular conflict with the priesthood, who see the foreign religions as endangering Israel's sole covenant with the Lord. The wisdom granted to Solomon by God becomes fully evident when the king sits in judgment. One day two harlots each claim to be mother of the same baby. Solomon's decision seems utterly cruel: he says that the child should be cut in two so that each woman receives half. Solomon can now determine who the real mother is from her reaction: she will not allow her child to be harmed. Solomon hands the child back to its true mother amid cheers of approval. One of the most important tasks handed down to Solomon by his father David is building the great Temple to house the Ark of the Covenant. It has to be larger and more magnificent than all other temples in the world, and Solomon now sets about fulfilling his father's wish. He places Jeroboam in charge of the Israelite workers as chief overseer. Seven years later, the work is completed. The expensive construction materials have been brought from far-off lands, and the people of Israel have paid exceedingly high taxes without complaint in order to finance the construction work. The Ark of the Covenant can now finally be taken to the Temple in a triumphant procession. After so many years of wandering, the Israelites' most sacred possession now has a fixed home of its own. People stream to Jerusalem from across the entire country to celebrate the great day. Abishag, now married, comes too and brings her family. Solomon has decided to mingle among the people in disguise, and he and Abishag are overjoyed when they accidentally meet again after so many years. The Temple makes Jerusalem and its king famous throughout the world. Even the dark-skinned Queen of Sheba sets off with a large retinue to visit the wise and cultivated Solomon and admire his magnificent city. The admiration turns out to be mutual: Solomon, captivated by her beauty, falls deeply in love with her. The two of them have a child, Menelik, but one day the Queen of Sheba decides to leave. She does not want Menelik to be deprived of the regal dignity awaiting him in his home country. Solomon stays behind, with a heavy heart. The king has now achieved everything he set his heart on, but with the passing of the years the wise Solomon gradually becomes a melancholy, skeptical old man who regularly questions his very existence. Material things seem to represent the only reality for him. He also refuses to adopt any kind of steady policy, especially in religious matters. With his foreign wives, Solomon sacrifices to foreign gods, and this incurs the wrath of the priesthood. The loyal Jeroboam appeals to his king's conscience, but to no avail. During one of Solomon's sorties in disguise among his people, a simple farmer reminds him of the first of the Ten Commandments revealed by the Lord to Moses: ""You shall have no other gods before me."" At another decisive moment, God Himself speaks to Solomon and announces the punishment for his sinfulness: the kingdom will collapse after Solomon's death. The king has grown old and weary. He has lost touch with the people of Israel, who are suffering from heavy taxation and forced labor. Solomon has treated his long-standing companion Jeroboam, to whom he entrusted the administration of the northern tribes, with murderous anger ever since a prophet predicted the division of the kingdom to him. The king no longer has the strength to change things -- he just leaves them as they are. The consequences of this become clear shortly after his death. Solomon's son and successor Rehoboam treats the country's leaders with arrogance, and provokes the division of the kingdom into two parts: the only tribe still loyal to him is that of Judah, while all the others unite under Jeroboam. The prophecy has been fulfilled. The kingdom that Solomon received from his father David, and invested with such might and magnificence, is now divided. —Anonymous","['Adventure', 'Biography', 'Drama']",1997,6.7,en,11,  720p  1080p,  1.57 GB  3.22 GB,  bluray  bluray,https://yts.mx/movies/solomon-1997
David,"The tribes of Israel need to defeat the superior might of the Philistines: ""Now appoint a king to lead us, such as all the other nations have."" (I Samuel, 8:5). And so the prophet Samuel gives the Hebrews their first king, Saul, a simple farmer, who with God's help becomes a brave and mighty warlord who leads the united tribes of Israel against their enemies. Saul, however, has incessant doubts about his mission. Not trustful enough of divine wisdom, he acts of his own accord and thus sins against the Lord. The influential prophet Samuel turns away from Saul in order to select a new king according to God's will: David. He is still a young boy, tending sheep in the fields, when, secretly Samuel oints him as the next king of the Israelites. When David - as courageous as he is intelligent - emerges victorious from his encounter with Goliath, the Philistines' most powerful warrior, he becomes a hero. His fame arouses the jealousy of King Saul, who senses that David is going to dispute his right to be king - and tries to kill him. David flees from Saul, and finds many supporters and loyal companions who believe that he is destined to be king. In exile, David waits for his time to come, since he does not want to take the place of Saul by violence. He is young and in the prime of his strength, while King Saul is a broken man. When Saul falls upon his sword after losing a battle, David's hour is at hand. The new King David conquers Jerusalem. The magnificent city is to become the royal residence for the glorious hero, who now plans to leave the business of war to others in future and to become a King of Peace. However, this temperamental man, with so many years of battle behind him and still in the bloom of youth, is not predestined for a quiet, orderly life at all. Very soon he plunges into an illicit love affair with Bathsheba, a married woman - an affair that threatens to become the king's undoing when it turns out that she is expecting his child. To conceal his adulterous fatherhood, the king sends Bathsheba's husband Uriah - one of his best and most loyal soldiers - to his death, and then marries her. The prophet and royal adviser Nathan announces to David that his act will result in divine punishment: the Lord will not countenance such an outrage. Violence and evil will continue in David's own family and bring disaster upon the heads of the numerous sons born to David from his wives and concubines. Then the child of David and Bathsheba dies. She gives him another son, Solomon, but very soon David suffers another sharp blow of fate: his grown-up son Absalom kills one of his brothers for the latter's rape of his sister. David is far too mild in response to this: not only does he fail to bring the incestuous seducer to justice, he also leaves the fratricide unpunished. The king does not realise that he is gradually losing control over his family, and that his hold on the people is also growing weaker. For David is obsessed with his plan of building the finest and largest temple in the world in Jerusalem. He demands immense sums from the populace for this project, even though God has commanded him to leave the completion of the building to his successors. David's ambitious son Absalom thus finds it very easy to drum up support for a conspiracy against his father. After a fierce battle, culminating in Absalom's death, David makes it back to Jerusalem. —Anonymous","['Adventure', 'Biography', 'Drama']",1997,7.1,en,13,  720p  1080p,  1.55 GB  3.19 GB,  bluray  bluray,https://yts.mx/movies/david-1997
Abraham,"The Old Testament story of Abraham and the trials he endures. Commanded by God to lead his family to the promised land of Canaan with the promise that if he does so, his descendants will become a great and numerous tribe. His obedience, as well as that of his children and grandchildren, is severely tested as they prove their faith to God. —Jean-Marc Rocher","['Adventure', 'Biography', 'Drama']",1993,7.2,en,11,  720p  1080p,  1.7 GB  3.49 GB,  bluray  bluray,https://yts.mx/movies/abraham-1993
Chillerama,"It's the closing night at the last drive-in theater in America and Cecil B. Kaufman has planned the ultimate marathon of lost film prints to unleash upon his faithful cinephile patrons. Four films so rare that they have never been exhibited publicly on American soil until this very night! With titles like Wadzilla, I Was A Teenage Werebear, The Diary of Anne Frankenstein, and Zom-B-Movie, Chillerama not only celebrates the golden age of drive-in B horror shlock but also spans over four decades of cinema with something for every bad taste. —Anonymous","['Action', 'Comedy', 'Horror']",2011,5.7,en,2,  720p  1080p,  1.08 GB  2.21 GB,  bluray  bluray,https://yts.mx/movies/chillerama-2011
Everlasting Love,A middle aged teacher meets one of his young students whilst cruising in the local woods. Between them commences a love affair that takes a dark turn.,"['Drama', 'Mystery', 'Romance']",2014,4.9,es,2,  720p  1080p,  634.82 MB  1.15 GB,  web  web,https://yts.mx/movies/everlasting-love-2014
My Straight Son,"The story of Diego, a young and successful photographer that lives in the glamorous world of fashion, shallowness and excess. A tragic accident turns his world around; his partner is now in a coma. Unexpectedly, and right at this terrible time, Diego must take care of his son, Armando. Now, both of them have to adapt to each other; Armando to the unknown, homosexual world of his father, and Diego to the closed attitude of his teenage son. —Miguel Ferrari","['Drama', 'Romance']",2012,7.4,es,1,  720p  1080p,  1.02 GB  2.1 GB,  web  web,https://yts.mx/movies/my-straight-son-2012
Cold Zone,"Unexplained deaths of migratory birds and several other baffling disappearances blemish the Alaskan vacation of the inquisitive ornithologist, Dr Roger Summers, and his family while visiting the cold winter retreat of Pemberton. Unable to come up with a logical explanation, Roger joins forces with the reclusive environmental scientist, Dr Tim Hughes, whose ideas and grave warnings of an impending frozen Armageddon were mocked by the scientific community. Now, the two men must warn everyone about the deadly phenomenon that threatens to devour the globe, to save as many as possible. Is the world facing a second Ice Age? —Nick Riganas","['Action', 'Sci-Fi']",2017,3.6,en,1,  720p  1080p,  781.53 MB  1.57 GB,  web  web,https://yts.mx/movies/cold-zone-2017
Killer Campout,Two youth counselors bring a group of emotionally troubled teens deep into the woods for a weekend of solitude and confrontational therapy. The trip turns deadly when they are terrorized by a cannibalistic hermit with a thirst for blood. —Anonymous,['Horror'],2017,4.9,en,0,  720p  1080p,  792.35 MB  1.44 GB,  web  web,https://yts.mx/movies/killer-campout-2017
Lost and Found in Armenia,"A US Senator's son (Jaime Kennedy) who attempts to forget the break up of his fiancée, is forced to vacation in Turkey by his best friends. A para-sailing trip mishap lands him in a small village in Armenia, where he is accused of being a spy. It is there he meets a young woman (Angela Sarafyan) who helps him to escape from misfortune. —Annoymous",['Comedy'],2012,6.2,hy,0,  720p  1080p,  926.7 MB  1.68 GB,  web  web,https://yts.mx/movies/lost-and-found-in-armenia-2012
Secrets of the Salisbury Poisonings,,['Documentary'],2021,3.5,en,1,  720p  1080p,  665.07 MB  1.2 GB,  web  web,https://yts.mx/movies/secrets-of-the-salisbury-poisonings-2021
Flashback,A woman lawyer travels back in time and crosses paths with other women in history who fought for women's rights.,"['Comedy', 'Sci-Fi']",2021,5.4,fr,1,  720p  1080p,  870.38 MB  1.75 GB,  web  web,https://yts.mx/movies/flashback-2021
La ronde,"In Paris during the summer of 1914 a succession of brief liaisons begins and ends with a soldier and a tart, but on the way moves humourously and sometimes poignantly through a fascinating panorama of society and of attitudes to love.","['Drama', 'History', 'Romance']",1964,5.6,fr,2,  720p  1080p,  1017.75 MB  1.84 GB,  web  web,https://yts.mx/movies/la-ronde-1964
The Great Moment,"In the winter of 1868, Eben Frost goes to a Boston pawnshop and redeems a silver medal, inscribed to ""Dr. W.T.G. Morton, the Benefactor of Mankind, with the Gratitude of Humanity."" Frost drives to a country farmhouse and gives the medal to Morton's widow, Elizabeth Morton who explains to her daughter, Betty, that Frost was the first person given anesthesia by her father, Boston dentist Dr. W.T.G. Morton. The story flashes back 20 years to find Morton being wildly acclaimed by medical students as the man whose discovery of ""letheon"" had forever ended pain as, before that day, even amputations were performed with the patient fully conscious. ""Letheron"", unknown to everybody but Morton and Elizabeth, is simply highly rectified sulfuric ether - cleaning fluid - easily obtainable at a pharmacy. By keeping the secret, Dr. Morton could be rich, but he had rather be poor than see a girl strapped to an operating table under the knife of Dr. Warren, and he reveals his secret to a group of surgeons in the hospital operating theatre. With his secret out, and all hope of personal reward gone, with the possible exception of proceeds from his glass inhaler, he gets the news that Congress has voted him a reward of $100,000, and also learns that the patent on his inhaler has been infringed. President Pierce, under pressure from newspapers inflamed by jealous medical rivals of Morton, refuses to sign the bill until Morton has proven patient infringement. —Les Adams","['Biography', 'Comedy', 'Drama']",1944,6.3,en,1,  720p  1080p,  738.41 MB  1.34 GB,  bluray  bluray,https://yts.mx/movies/the-great-moment-1944
Propeller,"Vans introduces its highly anticipated first-ever feature-length global skateboarding video, PROPELLER. Directed by acclaimed filmmaker Greg Hunt and featuring full parts from some of the biggest names in skateboarding alongside appearances from legends and true pioneers, PROPELLER presents a sweeping snapshot of modern skateboarding that only Vans can deliver.",['Documentary'],2015,8.5,en,0,  720p  1080p,  585.5 MB  1.17 GB,  web  web,https://yts.mx/movies/propeller-2015
Nanimono,"Looking for jobs, five young friends regularly meet at one's apartment. Judging and gauging one another by their ability to land job pits the friends as also competitors. When one of the friends finds work the remaining four feel abandoned and the relationships are not the same anymore. —aghaemi",['Drama'],2016,6.1,ja,4,  720p  1080p,  894.32 MB  1.8 GB,  bluray  bluray,https://yts.mx/movies/nanimono-2016
"Norm Macdonald: Hitler's Dog, Gossip & Trickery","In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older -- and perhaps even wiser -- point of view.","['Comedy', 'Documentary']",2017,7.4,en,3,  720p  1080p,  560.78 MB  1.13 GB,  web  web,https://yts.mx/movies/norm-macdonald-hitlers-dog-gossip-trickery-2017
House of Bamboo,"In Tokyo, a ruthless gang starts holding up U.S. ammunition trains, prepared to kill any of their own members wounded during a robbery. Down-at-heel ex-serviceman Eddie Spannier arrives from the States, apparently at the invitation of one such unfortunate. But Eddie isn't quite what he seems as he manages to make contact with Sandy Dawson, who is obviously running some sort of big operation, and his plan is helped by acquaintance with Mariko, the secret Japanese wife of the dead American. —Jeremy Perkins {J-26}","['Crime', 'Drama', 'Film-Noir']",1955,6.8,en,4,  720p  1080p,  943.04 MB  1.89 GB,  bluray  bluray,https://yts.mx/movies/house-of-bamboo-1955
Black Widow Business,A predatory middle-aged woman and her partner prey upon aging older men of a certain wealth. The idea is as old as the history of mankind itself: take the man's money in exchange for something pretty on his arm's and a good time (to start). You would think more than half a dozen former husbands may be a red flag and it only becomes when two daughters with their radars up seek to dig deeper into the woman taking their father's inheritance and wealth. Not that any of this is slowing the scoundrels down. —aghaemi,"['Comedy', 'Mystery', 'Romance']",2016,6.2,ja,1,  720p  1080p,  1.15 GB  2.36 GB,  bluray  bluray,https://yts.mx/movies/black-widow-business-2016
Awakening the Zodiac,"The story follows a down-on-their-luck couple who discovers a serial killer's film reels. They decide to take the law into their own hands, risking everything for the chance at a $100,000 reward. It isn't long until they find themselves in the killer's lethal cross-hairs.","['Crime', 'Drama', 'Mystery']",2017,4.8,en,3,  720p  1080p,  918.03 MB  1.84 GB,  web  web,https://yts.mx/movies/awakening-the-zodiac-2017
Licorice Pizza,"LICORICE PIZZA is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love. —United Artist Releasing","['Comedy', 'Drama', 'Romance']",2021,7.8,en,41,  720p  1080p,  1.2 GB  2.46 GB,  web  web,https://yts.mx/movies/licorice-pizza-2021
Don't Cry Peter,Two partisan coalminers need to take three orphan children away from dangerous area to the liberated land.,"['Adventure', 'War']",1964,8.3,sl,1,  720p  1080p,  844.52 MB  1.53 GB,  bluray  bluray,https://yts.mx/movies/dont-cry-peter-1964
Joseph,"The story begins in Egypt, in the marketplace of Avaris where Joseph is sold as a slave to Potiphar, the Pharaoh's Chief Steward. Joseph, the favored son of the patriarch Jacob, was given into captivity by his own envious brothers. A tireless and highly productive worker, Joseph wins his master's trust and is named steward of Potiphar's household. However, Joseph also unwittingly arouses the lust of Potiphar's wife. Luring him into her room one day, she orders Joseph to give her pleasure. But Joseph prefers punishment, even death, to betraying his master. As he flees from the room, the desperate woman tears off Joseph's garment and brandishes it as proof of her violation. As Potiphar questions him, Joseph begins to narrate the story of his past, a tale of suffering and hardship. We flash back to the time when Jacob and his family settled near the town of Schechem. It is a brief and unhappy stay, for when Jacob's daughter Dinah is ravished by the young prince of Schechem, Jacob's sons decide to exact revenge with a bloodbath - despite an agreement reached between Jacob and the Schechemites. As Jacob and his family flee, Rachel, Jacob's beloved wife, dies while giving birth to Benjamin. A few years elapse, and Jacob's older sons become increasingly resentful of their father's preference for Joseph. When Joseph turns seventeen, his father has a wonderful colored coat made for him, which further excites the jealousy of the brothers. When Joseph is sent to a distant pasture one day to look after his brothers, they seize him, tear off his coat, throw him into a dry well and, the following day, sell him as a slave to traders on their way to Egypt. This is how he enters the service of Potiphar. Despite his doubts about his wife's version of the ""rape"", Potiphar has Joseph jailed to vindicate his wife publicly. In prison, Joseph is assigned to attend two high court officials who are suspected of having stolen a bracelet from the Pharaoh. Tormented by dreams, the men ask Joseph for help. Joseph tells the cup-bearer that he will be reinstated, and the chief-baker that he will hang. Two years later, the cup-bearer remembers Joseph when the Pharaoh is unable to obtain from his priests a rational interpretation of two anguishing dreams. Joseph is summoned and predicts that after seven years of plentiful harvest, Egypt will suffer seven years of famine. Convinced, the Pharaoh appoints Joseph as his chancellor and gives him a beautiful Egyptian woman as his wife. Joseph immediately begins to put aside a fifth of the country's harvest. After seven years a murderous famine strikes, driving people from nations near and far to come to Egypt to buy grain. Among the famished, Joseph recognizes his brothers. Testing them to see if they have changed, Joseph is satisfied and reveals his identity. Finally reunited with his beloved brother Benjamin and his father Jacob, Joseph reconciles with his family, and the Pharaoh invites them to settle in Egypt as overseers of his livestock. —Anonymous","['Adventure', 'Biography', 'Drama']",1995,7.7,en,10,  720p  1080p,  1.66 GB  3.42 GB,  bluray  bluray,https://yts.mx/movies/joseph-1995
Iron Girl: Final Wars,"An cyborg warrior woman seeks to regain her memories as she joins three-way battle between the machines, the military, and humans.","['Action', 'Sci-Fi']",2019,4.0,ja,7,  720p  1080p,  832.83 MB  1.51 GB,  bluray  bluray,https://yts.mx/movies/iron-girl-final-wars-2019
A Tale of Two Guns,"In the lawless West, The Cowboys a notorious brotherhood of killers and thieves reigned over the land with brutal fists and fast guns. Fate had finally caught up with them - and now the merciless gang has but a single surviving member. When a deputized gunslinger takes up the call to hunt down the last Cowboy, the chase is on and the bullets fly and only one of these hardened men can survive. —ARIO",['Western'],2022,0.0,en,1,  720p  1080p,  837.51 MB  1.52 GB,  web  web,https://yts.mx/movies/a-tale-of-two-guns-2022
Finding Carlos,"A skateboarding teenager adjusts to living with his estranged father and finding his place in the world. Inspired by The Nutcracker and filled with music and dance, FINDING CARLOS is a movie for the entire family to enjoy.",['Family'],2022,4.4,en,0,  720p  1080p,  786.53 MB  1.58 GB,  web  web,https://yts.mx/movies/finding-carlos-2022
A Banquet,"Widowed mother Holly is radically tested when her teenage daughter Betsey experiences a profound enlightenment and insists that her body is no longer her own, but in service to a higher power. Bound to her newfound faith Betsey refuses to eat, but loses no weight. In an agonising dilemma torn between love and fear, Holly is forced to confront the boundaries of her own beliefs.",['Horror'],2021,5.2,en,2,  720p  1080p,  892.15 MB  1.79 GB,  web  web,https://yts.mx/movies/a-banquet-2021
Incarnation,"The story follows a struggling young couple chasing the American dream only to realize their worst nightmare when they discover a demonic spirit in their new home. Mammon is the biblical word for the worship of wealth, and the couple discover that getting rich can come at a hefty price. —M. Wolfe","['Horror', 'Thriller']",2022,0.0,en,3,  720p  1080p,  808.3 MB  1.62 GB,  web  web,https://yts.mx/movies/incarnation-2022
A Fairy Tale After All,A teenage outcast girl finds herself confronted by whimsical characters when she is transported into a world of fantasy and fairy tales while attending a school marionette show. She comes to realize her own imagination has an adventure already scripted for her that carries more wisdom than she could ever find alone in the real world. —Riding Hood Motion Pictures,"['Adventure', 'Family', 'Fantasy']",2022,4.9,en,11,  720p  1080p,  662.98 MB  1.33 GB,  web  web,https://yts.mx/movies/a-fairy-tale-after-all-2022
Ted K,"Ted K lives a life of almost complete seclusion in a simple wooden cabin in the mountains of Montana. But then this former university professor, who despises modern society and its faith in technology, becomes radicalized. What begins with local acts of sabotage, ends with deadly bomb attacks. To the outside world, Ted K becomes known as the Unabomber. Based on Ted Kaczynski's diaries and writings, Tony Stone's film is a kaleidoscopic true crime journey into the life of one of America's most complex and eccentric killers. It features a tour-de-force performance from Sharlto Copley who portrays the complexity of this unique outsider, raging at the forces of both the inescapable technological society that plagues him and his own inner demons.","['Biography', 'Crime', 'Drama']",2021,6.2,en,16,  720p  1080p  2160p,  1.1 GB  2.27 GB  5.48 GB,  web  web  web,https://yts.mx/movies/ted-k-2021
Pursuit,"Detective Breslin crosses paths with Calloway, a ruthless hacker who's trying to save his kidnapped wife from a drug cartel. When Calloway escapes from police custody, Breslin joins forces with a no-nonsense cop to reclaim his prisoner.","['Action', 'Drama', 'Thriller']",2022,2.8,en,7,  720p  1080p  2160p,  895.04 MB  1.8 GB  4.34 GB,  web  web  web,https://yts.mx/movies/pursuit-2022
Le rapace,"Vera Cruz, 1938. ""Le Rital"", a tough French hit man, agrees to serve Mexican revolutionaries who want to replace the current President by Chico, an insecure young bourgeois that they intend to manipulate. The killing of the President is to take place in a small town whose ""great lady"", Camito, is an alluring former thespian and the despot's mistress. Things go according to plan as the President commits the imprudence to come and see Camito without his escort. ""Le Rital"" just has to pull the trigger and his mission is achieved. But to no avail actually as the revolutionaries prove unable to take advantage of the situation. Worse, ""Le Rital"" finds himself driven to shoot at Chico(without killing him though) whereas he has become close to him. In the end he leaves Mexico for new adventures without anybody knowing that deep inside himself he is a broken man. —Guy Bellinger","['Action', 'Adventure', 'Drama']",1968,6.4,fr,0,  720p  1080p,  986.85 MB  1.79 GB,  bluray  bluray,https://yts.mx/movies/le-rapace-1968
Erax,"During a sleepover, Auntie Opal and her niece Nina accidentally release the mythical and dangerous Erax creatures that must be returned to the storybook from which they escaped.","['Family', 'Mystery']",2022,4.4,en,3,  720p  1080p,  140.31 MB  293.18 MB,  web  web,https://yts.mx/movies/erax-2022
Heart Shot,"In this short film, teenagers Nikki and Sam are in love and planning their future together- until Nikki's dangerous past returns to threaten everything.","['Action', 'Romance']",2022,4.3,en,3,  720p  1080p,  177.02 MB  365.94 MB,  web  web,https://yts.mx/movies/heart-shot-2022
The Good Boss,"""The Good Boss"" takes place in and around the Blancos Básculas factory, where all things must be in balance at all times. After all, they manufacture scales of all shapes and sizes. There, the seemingly benevolent boss, Bardem's Blanco, is preparing his workforce for an upcoming inspection by a group visiting local businesses to select one for a prestigious prize. Tensions begin to mount, however, when recently fired employee Jose shows up with his two children and begins making demands for the reinstatement of his employment. When Blanco's management team refuses, the employee begins a one man crusade to discredit Blanco and prevent him from winning the much-coveted award.",['Comedy'],2021,7.3,es,5,  720p  1080p,  1.03 GB  2.12 GB,  web  web,https://yts.mx/movies/the-good-boss-2021
Mo Gilligan: There's Mo to Life,,['Comedy'],2022,5.8,en,0,  720p  1080p,  608.57 MB  1.22 GB,  web  web,https://yts.mx/movies/mo-gilligan-theres-mo-to-life-2022
Forgive Us Our Trespasses,"Targeted by Nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life.",['Drama'],2022,6.5,en,5,  720p  1080p,  131.09 MB  271.44 MB,  web  web,https://yts.mx/movies/forgive-us-our-trespasses-2022
Fistful of Vengeance,"Kai Jin, a young Chinatown chef in present day San Francisco, becomes entangled with the Chinese Triad's pursuit of deadly ancient powers known as the ""Wu Xing.","['Action', 'Crime', 'Drama']",2022,4.5,en,71,  720p  1080p,  885.34 MB  1.78 GB,  web  web,https://yts.mx/movies/fistful-of-vengeance-2022
They Live in the Grey,"Claire, while investigating a child abuse case, discovers that the family is being tormented by a supernatural entity.","['Action', 'Horror', 'Thriller']",2022,4.9,en,6,  720p  1080p,  1.11 GB  2.06 GB,  web  web,https://yts.mx/movies/they-live-in-the-grey-2022
Sundown,"Neil and Alice Bennett (Tim Roth, Charlotte Gainsbourg) are the core of a wealthy family on vacation in Mexico with younger members Colin and Alexa (Samuel Bottomley, Albertine Kotting McMillan) until a distant emergency cuts their trip short. When one relative disrupts the family's tight-knit order, simmering tensions rise to the fore in this suspenseful jolt from writer/director Michel Franco.",['Drama'],2021,6.6,en,3,  720p  1080p,  754.68 MB  1.52 GB,  web  web,https://yts.mx/movies/sundown-2021
King Knight,"Thorn (CRIMINAL MINDS' Matthew Gray Gubler) and Willow appear to have it all as the revered high priest and priestess of a coven of new age witches. But a secret from Thorn's past throws their lives into turmoil and sends them on a trippy, hilarious journey.","['Comedy', 'Horror']",2021,5.5,en,2,  720p  1080p,  740.44 MB  1.49 GB,  web  web,https://yts.mx/movies/king-knight-2021
These Old Broads,"After a re-release of their 60's movie hit ""Boy Crazy"" becomes a smash, three actresses, Piper Grayson (Debbie Reynolds), Kate Westbourne (Shirley MacLaine), and Addie Holden (Dame Joan Collins), reunite for a reunion show, with help from Kate's son Wesley (Jonathan Silverman) and their manager, Beryl Mason (Dame Elizabeth Taylor). The problem? The three actresses and their manager all loathe each other. —Ashley Phipps",['Comedy'],2001,5.8,en,2,  720p  1080p,  819.81 MB  1.49 GB,  web  web,https://yts.mx/movies/these-old-broads-2001
Crusader,"A gripping action thriller about a reporter who steals a murdered colleague's news story, and becomes an unwitting pawn in a conspiracy that could cost him his life.","['Action', 'Thriller']",2005,4.4,en,0,  720p  1080p,  914.61 MB  1.84 GB,  web  web,https://yts.mx/movies/crusader-2005
